Time,emr-header-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-3/used,emr-worker-4/used,emr-worker-5/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
0:27:15,9889054720.00 ,17004040192.00 ,30310129664.00 ,30800502784.00 ,30242422784.00 ,30439579648.00 ,30224318464.00 ,30666706944.00 ,30410752000.00 ,30275641344.00 ,,270263148544.00 
0:27:30,9894445056.00 ,3520884736.00 ,3310120960.00 ,3148173312.00 ,3198201856.00 ,3200638976.00 ,3203829760.00 ,3209891840.00 ,3298795520.00 ,3241177088.00 ,,39226159104.00 
0:27:45,9812848640.00 ,3250495488.00 ,3301322752.00 ,3147792384.00 ,3199373312.00 ,3182911488.00 ,3205107712.00 ,3208069120.00 ,3281666048.00 ,3233386496.00 ,,38822973440.00 
,,,,,,,,,,,,
,10008223744.00 ,17010728960.00 ,30318657536.00 ,30801551360.00 ,30247837696.00 ,30443917312.00 ,30227496960.00 ,30667755520.00 ,30424526848.00 ,30280658944.00 ,,270431354880.00 
,,,,,,,,,,,,
0:28:00,9372336128.00 ,3250561024.00 ,3303784448.00 ,3146031104.00 ,3193438208.00 ,3182342144.00 ,3206946816.00 ,3200155648.00 ,3280936960.00 ,3239743488.00 ,,38376275968.00 
0:28:15,9360957440.00 ,3250581504.00 ,3303976960.00 ,3146690560.00 ,3194474496.00 ,3181453312.00 ,3207024640.00 ,3200843776.00 ,3282522112.00 ,3240464384.00 ,,38368989184.00 
0:28:30,9367785472.00 ,3245965312.00 ,3300827136.00 ,3145256960.00 ,3193737216.00 ,3181547520.00 ,3206983680.00 ,3199021056.00 ,3296804864.00 ,3239100416.00 ,,38377029632.00 
0:28:45,9377615872.00 ,3247538176.00 ,3298275328.00 ,3145859072.00 ,3193221120.00 ,3179483136.00 ,3204513792.00 ,3198099456.00 ,3279908864.00 ,3244302336.00 ,,38368817152.00 
0:29:00,9369227264.00 ,3247915008.00 ,3302969344.00 ,3156893696.00 ,3192176640.00 ,3181465600.00 ,3202387968.00 ,3200745472.00 ,3281780736.00 ,3245277184.00 ,,38380838912.00 
0:29:15,9364348928.00 ,3248373760.00 ,3302780928.00 ,3143725056.00 ,3193548800.00 ,3181862912.00 ,3203883008.00 ,3200385024.00 ,3281399808.00 ,3252973568.00 ,,38373281792.00 
0:29:30,9378521088.00 ,3241652224.00 ,3303620608.00 ,3144245248.00 ,3193835520.00 ,3179896832.00 ,3204763648.00 ,3197816832.00 ,3296927744.00 ,3243655168.00 ,,38384934912.00 
0:29:45,9909420032.00 ,11300941824.00 ,11244728320.00 ,14922555392.00 ,15391002624.00 ,11636113408.00 ,8478552064.00 ,7701929984.00 ,7936565248.00 ,12275380224.00 ,,110797189120.00 
0:30:00,9901232128.00 ,12882096128.00 ,11876950016.00 ,16598687744.00 ,18367619072.00 ,13204389888.00 ,10116833280.00 ,8699740160.00 ,9336573952.00 ,14780178432.00 ,,125764300800.00 
0:30:15,9896894464.00 ,13308452864.00 ,12104970240.00 ,16966242304.00 ,18678874112.00 ,13741596672.00 ,10758664192.00 ,9198596096.00 ,9886261248.00 ,15442792448.00 ,,129983344640.00 
0:30:30,9905115136.00 ,14751948800.00 ,19886317568.00 ,20637249536.00 ,21163057152.00 ,20256063488.00 ,20472938496.00 ,19195441152.00 ,15053488128.00 ,20879794176.00 ,,182201413632.00 
